"name","prices","designer"
"3.1 Phillip Lim Pashli Mini Satchel Bag Nude/Platinum",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Calf Satchel Bag Black",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Leather Satchel Bag Black",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Leather Satchel Bag Feather",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Mixed-Texture Satchel Bag",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Satchel Bag Nude Platinum",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Satchel Bag Military",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Leather Satchel Bag Bright Fuchsia",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Zip Satchel Bag Bright Fuchsia",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Satchel Bag Ivy",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Satchel Bag Ivory/Mimosa",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Satchel Bag White Peach",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Satchel Bag Raspberry",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Leather Satchel Bag Silver",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Zip Satchel Bag Red",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Leather Satchel Bag Cobalt",255,"31 phillip lim"
"3.1 Phillip Lim Pashli Leather Mini Satchel Bag Ink",255,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Leather Satchel Taupe",255,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Zip Satchel Bag Black",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Zip Satchel Bag Ink",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Zip Satchel Bag Black",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Zip Satchel Bag Jade",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Mini Satchel Bag Cobalt",250,"31 phillip lim"
"3.1 Phillip Lim Pashli Medium Zip Satchel Bag Taupe",259,"31 phillip lim"
"3.1 Phillip Lim Ryder Small Leather Satchel Bag",245,"31 phillip lim"
"3.1 Phillip Lim 31-Hour Fold-Over Tote Bag Navy",239,"31 phillip lim"
"3.1 Phillip Lim Ryder Small Leather Crossbody Bag",239,"31 phillip lim"
"3.1 Phillip Lim 31-Hour Fold-Over Satchel Bag",239,"31 phillip lim"
"3.1 Phillip Lim 31-Hour Fold-Over Tote Bag",239,"31 phillip lim"
"3.1 Phillip Lim Soleil Large Drawstring Bucket Bag Black",235,"31 phillip lim"
"3.1 Phillip Lim Soleil Small Drawstring Bucket Bag Black",235,"31 phillip lim"
"3.1 Phillip Lim Soleil Small Drawstring Bucket Bag",235,"31 phillip lim"
"3.1 Phillip Lim Soleil Large Drawstring Bucket Bag Charcoal",235,"31 phillip lim"
"3.1 Phillip Lim Soleil Large Drawstring Bucket Bag White",235,"31 phillip lim"
"3.1 Phillip Lim Soleil Mini Chain Shoulder Bag White",235,"31 phillip lim"
"Alexander Wang Rockie Mini Pebbled Leather Shoulder Bag",250,"alexander wang"
"Alexander Wang Studded Nylon-Trimmed Leather Duffel Bag",250,"alexander wang"
"Alexander Wang Rockie Mini Pebbled Leather Duffel Bag Red",250,"alexander wang"
"Alexander Wang Rockie Mini Pebbled Leather Duffel Bag Ivory",250,"alexander wang"
"Alexander Wang Rockie Mini Pebbled Leather Duffel Bag",250,"alexander wang"
"Alexander Wang Rockie Pebbled Leather Duffel Bag",250,"alexander wang"
"Alexander Wang Rocco Pebbled Leather Duffel Bag",250,"alexander wang"
"Alexander Wang Rockie Leather Duffel Bag",250,"alexander wang"
"Alexander Wang Rocco Metallic Pebbled Leather Duffel Bag",250,"alexander wang"
"Alexander Wang Rocco Lambskin Satchel",250,"alexander wang"
"Alexander Wang Prisma Studded Leather Tote",245,"alexander wang"
"Alexander Wang Emile Mini Studded Leather Satchel",255,"alexander wang"
"Alexander Wang Emile Mini Studded Nylon & Leather Satchel",255,"alexander wang"
"Alexander Wang Emile Mini Leather Satchel Blush",255,"alexander wang"
"Alexander Wang Emile Mini Leather Satchel",255,"alexander wang"
"Alexander Wang Emile Small Ribbed Leather Tote",255,"alexander wang"
"Alexander Wang Prisma Skeletal Leather Shoulder Bag",245,"alexander wang"
"Alexander Wang Dumbo Studded Pebbled Leather Backpack",265,"alexander wang"
"Alexander Wang Runway Stud Quilted Nylon & Leather Backpack",265,"alexander wang"
"Alexander Wang Prisma Two-Tone Leather Backpack",265,"alexander wang"
"Alexander Wang Prisma Woven Leather Backpack",265,"alexander wang"
"Alexander Wang Prisma Skeletal Two-Tone Leather Backpack",265,"alexander wang"
"Alexander Wang Prisma Skeletal Studded Leather Backpack",265,"alexander wang"
"Alexander Wang Prisma Skeletal Leather Backpack Black",265,"alexander wang"
"Alexander Wang Prisma Skeletal Leather Backpack Neptune",265,"alexander wang"
"Alexander Wang Prisma Skeletal Pebbed Leather Backpack",265,"alexander wang"
"Alexander Wang Alpha Woven Leather Bucket Bag",245,"alexander wang"
"Alexander Wang Diego Small Pebbled Leather Bucket Bag Red",245,"alexander wang"
"Alexander Wang Alpha Leather Bucket Bag",255,"alexander wang"
"Alexander Wang Diego Small Pebbled Leather Bucket Bag",235,"alexander wang"
"Alexander Wang Diego Pebbled Leather Bucket Bag",235,"alexander wang"
"Alexander Wang Marti Mini Leather Backpack Black",245,"alexander wang"
"Alexander Wang Marti Mini Convertible Leather Backpack Blush",245,"alexander wang"
"Alexander Wang Marti Convertible Leather Backpack Ivory",245,"alexander wang"
"Alexander Wang Marti Mini Convertible Suede Backpack Varsity",300,"alexander wang"
"Alexander Wang Marti Leather Backpack Black",245,"alexander wang"
"Balenciaga Triangle Square XS printed textured-leather tote Red",198,"balenciaga"
"Balenciaga Triangle Square XS bag White",229,"balenciaga"
"Balenciaga Triangle Square XS bag Green",229,"balenciaga"
